date,min,max,pm25,q1,q3,stdev,count
2020-05-19T00:00:00.000Z,0.2,1.18,0.43,0.37,0.53,0.152,194
2020-05-20T00:00:00.000Z,0.15,3.6,0.42,0.31,0.71,0.49,558
2020-05-21T00:00:00.000Z,0.2,6.12,1.31,0.6,1.84,1.131,521
2020-05-22T00:00:00.000Z,0.32,2.78,0.84,0.68,1.13,0.463,554
2020-05-23T00:00:00.000Z,0.7,10.65,2.45,1.8,3.53,1.961,502
2020-05-24T00:00:00.000Z,1.23,23.35,4.5,2.83,5.8,2.714,546
2020-05-25T00:00:00.000Z,0.2,7.68,1.5,0.7,3.7,2.039,547
2020-05-26T00:00:00.000Z,0.1,8.73,2.02,0.9,3.37,1.528,499
2020-05-27T00:00:00.000Z,0.1,5.57,1.17,0.6,2.62,1.426,530
2020-05-28T00:00:00.000Z,0.1,5.2,0.68,0.45,0.95,0.488,550
2020-05-29T00:00:00.000Z,0.13,4.47,0.8,0.52,1.3,0.722,550
2020-05-30T00:00:00.000Z,0.03,238.75,0.5,0.35,0.7,12.74,572
2020-05-31T00:00:00.000Z,0,1.9,0.3,0.2,0.45,0.315,511
2020-06-01T00:00:00.000Z,0.1,1.8,0.5,0.3,0.7,0.313,495
2020-06-02T00:00:00.000Z,0.13,3.45,1.05,0.5,1.58,0.664,535
2020-06-03T00:00:00.000Z,0.2,5.57,0.95,0.62,1.26,0.512,461
2020-06-04T00:00:00.000Z,0.3,3.12,0.93,0.7,1.23,0.411,538
2020-06-05T00:00:00.000Z,0.75,5.87,2.5,2.1,2.92,0.666,443
2020-06-06T00:00:00.000Z,0.1,13.35,1.25,0.55,2.72,2.137,490
2020-06-07T00:00:00.000Z,0.56,8.44,1.77,1.2,2.94,1.369,553
2020-06-08T00:00:00.000Z,0.1,19.12,0.98,0.6,3.95,3.075,537
2020-06-09T00:00:00.000Z,0.1,3.47,1.14,0.85,1.5,0.638,494
2020-06-10T00:00:00.000Z,0.25,3.67,0.73,0.52,1.54,0.878,540
2020-06-11T00:00:00.000Z,0.1,1.27,0.4,0.3,0.5,0.193,569
2020-06-12T00:00:00.000Z,0.03,1.95,0.56,0.4,0.73,0.252,572
2020-06-13T00:00:00.000Z,0.2,2.5,0.98,0.73,1.2,0.364,551
2020-06-14T00:00:00.000Z,0.2,2.92,0.8,0.52,1.4,0.537,351
2020-06-15T00:00:00.000Z,0.3,6.72,1.92,1,2.74,1.224,564
2020-06-16T00:00:00.000Z,0.85,7.82,2.33,1.58,3.13,1.555,570
2020-06-17T00:00:00.000Z,0.5,8.19,2.92,1.55,4.7,2.009,548
2020-06-18T00:00:00.000Z,0.5,18.05,3.11,1.58,6.05,3.586,502
2020-06-19T00:00:00.000Z,0.6,5.07,1.73,1.14,2.6,1.077,486
2020-06-20T00:00:00.000Z,1.2,8.63,3.03,2.44,3.75,1.074,584
2020-06-21T00:00:00.000Z,0.7,8.88,1.67,1.3,2.49,1.204,585
2020-06-22T00:00:00.000Z,0.4,16.23,2.58,1.67,4.2,2.363,554
2020-06-23T00:00:00.000Z,0.62,10.75,2.52,1.8,4.09,1.725,570
2020-06-24T00:00:00.000Z,0.1,7.93,1.57,0.8,3.3,1.534,590
2020-06-25T00:00:00.000Z,0.35,6.85,2.04,1.37,3.5,1.373,570
2020-06-26T00:00:00.000Z,0.43,6.62,2.47,1.33,4.34,1.632,552
2020-06-27T00:00:00.000Z,0.8,5.72,3.37,1.92,4.05,1.232,523
2020-06-28T00:00:00.000Z,2.02,8.63,4.28,3.5,5.22,1.465,439
2020-06-29T00:00:00.000Z,0.37,6.72,1.4,0.98,2.04,1.006,487
2020-06-30T00:00:00.000Z,0.3,6.5,1.14,0.82,1.58,0.786,468
2020-07-01T00:00:00.000Z,0.1,3.35,0.9,0.5,1.37,0.612,459
2020-07-02T00:00:00.000Z,0.05,4.07,1.1,0.6,1.48,0.594,458
2020-07-03T00:00:00.000Z,0,2.75,0.4,0.2,0.65,0.389,473
2020-07-04T00:00:00.000Z,0,11.12,0.4,0.2,0.77,1.577,497
2020-07-05T00:00:00.000Z,0.28,4.68,1.3,0.74,2,0.793,465
2020-07-06T00:00:00.000Z,0,4.37,1.48,1.19,1.99,0.668,280
2020-07-07T00:00:00.000Z,0,2.83,0.32,0.2,0.6,0.428,441
2020-07-08T00:00:00.000Z,0,4.72,0.5,0.2,2.02,1.117,446
2020-07-09T00:00:00.000Z,0,2.75,0.4,0.2,0.68,0.547,477
2020-07-10T00:00:00.000Z,0.1,8.9,0.52,0.4,0.85,0.713,447
2020-07-11T00:00:00.000Z,0.1,4.72,0.7,0.5,1.48,0.992,339
2020-07-12T00:00:00.000Z,0,4.7,0.4,0.2,1.05,1.053,415
2020-07-13T00:00:00.000Z,0,2.9,0.6,0.2,1.45,0.677,417
2020-07-14T00:00:00.000Z,0.6,12,2.25,1.55,3.35,1.909,383
2020-07-15T00:00:00.000Z,0.6,9.55,3.71,2.37,5.4,2.191,354
2020-07-16T00:00:00.000Z,0.2,18.64,3.08,1.2,6.06,3.483,321
2020-07-17T00:00:00.000Z,0.2,6.85,1.17,0.75,2.02,1.447,491
2020-07-18T00:00:00.000Z,0.55,6.78,2.2,1.73,2.8,1.096,455
2020-07-19T00:00:00.000Z,0.7,10.93,4.17,2.04,5.75,2.297,172
2020-07-20T00:00:00.000Z,0.3,39.4,1.75,0.9,11.7,8.297,186
2020-07-21T00:00:00.000Z,0,2.58,0.52,0.3,1.08,0.526,267
2020-07-22T00:00:00.000Z,0,0.9,0.2,0.1,0.32,0.185,275
2020-07-23T00:00:00.000Z,0,1.45,0.17,0.1,0.28,0.179,299
2020-07-24T00:00:00.000Z,0,1.14,0.2,0.1,0.3,0.166,305
