date,min,max,pm25,q1,q3,stdev,count
2023-05-29T00:00:00.000Z,0.5,1.1,0.7,0.67,0.8,0.12,115
2023-05-30T00:00:00.000Z,0.3,1,0.7,0.6,0.75,0.115,465
2023-05-31T00:00:00.000Z,0.3,1.3,0.9,0.5,1.1,0.303,290
2023-06-01T00:00:00.000Z,0.3,1.53,0.67,0.56,0.8,0.221,462
2023-06-02T00:00:00.000Z,0.2,1.7,0.53,0.43,0.63,0.202,464
2023-06-03T00:00:00.000Z,0.3,1.47,0.77,0.6,0.9,0.209,380
2023-06-04T00:00:00.000Z,0.2,1.07,0.5,0.4,0.6,0.18,466
2023-06-05T00:00:00.000Z,0.3,6.77,0.6,0.5,2.17,1.125,163
2023-06-06T00:00:00.000Z,1.37,8.9,4.7,3.9,5.4,1.376,143
2023-06-07T00:00:00.000Z,1.12,3.83,1.85,1.69,2.67,0.637,204
2023-06-08T00:00:00.000Z,1.8,6.13,2.9,2.67,3.43,0.804,259
2023-06-09T00:00:00.000Z,0.7,3.33,1.6,1.3,2.35,0.631,253
2023-06-10T00:00:00.000Z,0.47,1.93,1.1,0.7,1.3,0.34,97
2023-06-11T00:00:00.000Z,0.9,2.93,1.3,1.2,1.9,0.516,246
2023-06-12T00:00:00.000Z,1.2,2.97,2.04,1.8,2.27,0.324,254
2023-06-13T00:00:00.000Z,1.8,6.3,2.43,2.23,3.1,1.071,283
2023-06-14T00:00:00.000Z,3,22.73,4.87,3.8,6.17,2.719,338
2023-06-15T00:00:00.000Z,3.58,10.6,6.83,5.48,7.7,1.576,297
2023-06-16T00:00:00.000Z,2.9,10.7,7.83,6.33,8.5,1.86,214
2023-06-17T00:00:00.000Z,3.87,13,7.47,6.17,8.69,1.955,304
2023-06-18T00:00:00.000Z,7.03,17.37,8.8,7.99,11.03,2.43,189
2023-06-19T00:00:00.000Z,6.4,21.9,14.53,8.67,17.82,4.835,35
2023-06-20T00:00:00.000Z,6.47,14.53,10.87,8.52,12.23,2.192,107
2023-06-21T00:00:00.000Z,5.47,17.87,10.8,9.97,12.9,2.55,63
2023-06-22T00:00:00.000Z,1.3,10.43,3.35,2.35,5.19,2.012,148
2023-06-23T00:00:00.000Z,1.1,6.7,1.9,1.5,3.2,1.051,201
2023-06-24T00:00:00.000Z,0.9,9.47,2.12,1.7,4.87,2.337,248
2023-06-25T00:00:00.000Z,3.43,15.07,6.33,4.2,8.67,2.366,179
2023-06-26T00:00:00.000Z,2.77,10.73,4.97,3.78,6.87,2.073,169
2023-06-27T00:00:00.000Z,1.27,8.77,3.9,2.1,5.33,1.949,263
2023-06-28T00:00:00.000Z,2.5,9.4,5.37,3.33,7,1.942,142
2023-06-29T00:00:00.000Z,1.4,8.07,3.89,3.39,4.23,0.974,100
2023-06-30T00:00:00.000Z,1.9,10.3,4.37,3.69,5.59,2.264,68
2023-07-01T00:00:00.000Z,1.5,5,3.27,2.1,4.26,1.047,103
2023-07-02T00:00:00.000Z,1.1,4.3,2.1,1.7,2.6,0.691,187
2023-07-03T00:00:00.000Z,1.1,10.93,2.13,1.77,2.47,1.075,235
2023-07-04T00:00:00.000Z,0.87,2.9,1.6,1.3,2,0.464,70
2023-07-05T00:00:00.000Z,1.12,7.2,2.4,1.63,4.19,1.641,261
2023-07-06T00:00:00.000Z,0.73,6.13,4.05,1.79,5.09,1.661,204
2023-07-07T00:00:00.000Z,1.2,6.43,2.47,1.8,3.72,1.111,385
2023-07-08T00:00:00.000Z,1.6,8.5,3.35,2.27,6.3,2.104,158
2023-07-09T00:00:00.000Z,1.6,4.7,2.83,2.52,3.4,0.64,175
2023-07-10T00:00:00.000Z,2,8.43,4,3.4,4.7,1.271,231
2023-07-11T00:00:00.000Z,1.87,7.43,4.2,2.83,5.57,1.493,239
2023-07-12T00:00:00.000Z,1.4,20.37,5.13,3.63,6.14,2.75,157
2023-07-13T00:00:00.000Z,0.7,5.09,2,1.33,3.07,1.014,371
2023-07-14T00:00:00.000Z,0.8,6.03,1.3,1.1,2.7,1.522,290
2023-07-15T00:00:00.000Z,1.4,5.13,2.17,2,2.4,0.499,135
2023-07-16T00:00:00.000Z,1.73,9.73,2.77,2.33,4.07,1.665,122
2023-07-17T00:00:00.000Z,1.63,4.3,3.6,3.3,4,0.665,59
2023-07-18T00:00:00.000Z,0.4,4.17,1.3,0.9,2.1,0.748,171
2023-07-19T00:00:00.000Z,0.5,4.9,1.4,0.9,2.33,0.838,355
2023-07-20T00:00:00.000Z,0.3,3.97,0.9,0.6,1.4,0.659,303
2023-07-21T00:00:00.000Z,0.7,8.9,1.33,1.1,1.97,1.07,146
2023-07-22T00:00:00.000Z,0.8,3.37,1.12,1,1.4,0.597,70
2023-07-23T00:00:00.000Z,1.4,7.13,3.07,2.77,3.5,0.902,62
2023-07-24T00:00:00.000Z,0.6,4.2,1.8,1.07,2.29,0.789,125
2023-07-25T00:00:00.000Z,0.8,2.6,1.3,1.1,1.87,0.443,64
2023-07-26T00:00:00.000Z,0.4,2.27,0.9,0.56,1.05,0.524,9
2023-07-27T00:00:00.000Z,0.7,4.09,1.2,1,2.69,0.956,168
2023-07-28T00:00:00.000Z,0.7,20.32,1.77,1.17,2.29,2.46,283
2023-07-29T00:00:00.000Z,2.17,6.23,2.9,2.7,3.23,0.749,179
2023-07-30T00:00:00.000Z,1.07,10.19,2.47,1.8,5.32,2.25,213
2023-07-31T00:00:00.000Z,0.9,3,1.4,1.25,1.77,0.49,128
2023-08-01T00:00:00.000Z,1,4.03,1.65,1.3,2.17,0.487,204
2023-08-02T00:00:00.000Z,1.3,5.8,2.9,2.57,3.5,0.722,389
2023-08-03T00:00:00.000Z,0.9,6.5,1.8,1.4,2.17,1.456,383
2023-08-04T00:00:00.000Z,1.1,6.13,2.17,1.63,2.8,1.1,298
2023-08-05T00:00:00.000Z,1.4,7.77,2.5,2,3.47,1.248,168
2023-08-06T00:00:00.000Z,1,5.17,2.43,1.6,3.55,1.064,300
