date,min,max,pm25,q1,q3,stdev,count
2019-12-22T00:00:00.000Z,0.43,2,0.95,0.75,1.45,0.411,163
2019-12-23T00:00:00.000Z,0.68,2.84,1.37,1.02,1.76,0.439,561
2019-12-24T00:00:00.000Z,0.1,2.88,1.21,0.74,1.77,0.655,581
2019-12-25T00:00:00.000Z,0.15,1.06,0.48,0.39,0.6,0.172,576
2019-12-26T00:00:00.000Z,0.25,3.95,0.56,0.46,0.78,0.377,576
2019-12-27T00:00:00.000Z,0,4.7,0.37,0.24,0.7,0.427,563
2019-12-28T00:00:00.000Z,0.48,6.12,1,0.82,2.15,1.398,581
2019-12-29T00:00:00.000Z,3.02,9.25,5.13,4.36,5.92,1.051,582
2019-12-30T00:00:00.000Z,0.1,5.54,1.76,0.55,3.61,1.59,574
2019-12-31T00:00:00.000Z,0,1.8,0.18,0.05,0.38,0.246,557
2020-01-01T00:00:00.000Z,0.08,2.5,1.1,0.44,1.45,0.545,569
2020-01-02T00:00:00.000Z,0.52,8.07,2.37,1,3.65,1.848,565
2020-01-03T00:00:00.000Z,0,2.99,0.56,0.25,1.24,0.616,544
2020-01-04T00:00:00.000Z,0,0.8,0.15,0.06,0.22,0.135,551
2020-01-05T00:00:00.000Z,0,1.6,0.28,0.18,0.84,0.371,560
2020-01-06T00:00:00.000Z,0,9.66,0.48,0.2,0.8,0.695,510
2020-01-07T00:00:00.000Z,0.4,3.06,1.14,0.88,1.56,0.528,510
2020-01-08T00:00:00.000Z,0.13,4.51,1.1,0.85,1.9,0.98,494
2020-01-09T00:00:00.000Z,0.2,2.04,0.8,0.65,0.97,0.311,517
2020-01-10T00:00:00.000Z,0.18,2.15,0.52,0.4,0.65,0.3,426
2020-01-11T00:00:00.000Z,0,2.5,0.62,0.4,0.86,0.463,507
2020-01-12T00:00:00.000Z,0.12,3.32,0.65,0.44,1.09,0.723,537
2020-01-13T00:00:00.000Z,0.12,1.6,0.65,0.5,0.84,0.303,470
2020-01-14T00:00:00.000Z,0.15,2.86,1.45,0.95,1.92,0.668,437
2020-01-15T00:00:00.000Z,0,3.88,1.3,1.06,1.6,0.723,450
2020-01-16T00:00:00.000Z,0.78,3.87,1.85,1.54,2.13,0.454,470
2020-01-17T00:00:00.000Z,0.6,8.5,4.24,1.88,6.34,2.226,462
2020-01-18T00:00:00.000Z,0.1,5.01,0.88,0.56,1.42,0.833,494
2020-01-19T00:00:00.000Z,0,8.75,0.65,0.34,0.85,1.142,460
2020-01-20T00:00:00.000Z,0.46,2.84,0.89,0.74,1.1,0.346,365
2020-01-21T00:00:00.000Z,0.08,4.4,0.48,0.25,0.87,0.618,458
