date,min,max,pm25,q1,q3,stdev,count
2021-09-07T00:00:00.000Z,0.9,16.85,3.8,3.01,4.28,1.776,308
2021-09-08T00:00:00.000Z,0.73,10.23,2.69,1.83,4.45,1.809,528
2021-09-09T00:00:00.000Z,7.63,16.6,9.86,9.19,11.48,1.892,456
2021-09-10T00:00:00.000Z,5.05,26.88,10.6,8.69,15.3,3.61,526
2021-09-11T00:00:00.000Z,1.52,25.27,10.02,6.77,12.95,4.142,524
2021-09-12T00:00:00.000Z,0.2,12.07,4.47,0.9,5.8,2.822,524
2021-09-13T00:00:00.000Z,0,61.9,0.52,0.3,0.7,4.324,524
2021-09-14T00:00:00.000Z,0.1,95.45,0.6,0.43,0.7,8.554,530
2021-09-15T00:00:00.000Z,0.35,180.43,0.88,0.7,1.1,12.571,525
2021-09-16T00:00:00.000Z,0.4,98.72,1.75,0.95,2.7,6.079,521
2021-09-17T00:00:00.000Z,1.45,6.38,3.15,2.5,4.05,0.932,521
2021-09-18T00:00:00.000Z,0.8,16.39,2.13,1.58,2.67,1.184,521
2021-09-19T00:00:00.000Z,0.7,12.75,1.73,1.3,2.25,1.061,528
2021-09-20T00:00:00.000Z,1.6,35.92,2.33,2.08,3.64,2.813,524
2021-09-21T00:00:00.000Z,1.2,6.88,3.35,2.6,4.09,0.998,528
2021-09-22T00:00:00.000Z,1.4,8.52,3.6,3.05,4.3,1.033,521
2021-09-23T00:00:00.000Z,0.1,4.09,0.52,0.4,0.8,0.803,532
2021-09-24T00:00:00.000Z,0.1,5.09,0.38,0.3,1.36,1.417,529
2021-09-25T00:00:00.000Z,0,4.09,0.75,0.35,1.4,0.774,527
2021-09-26T00:00:00.000Z,0.2,94.88,0.73,0.6,1,6.461,512
2021-09-27T00:00:00.000Z,0.4,15.25,1.23,0.8,1.9,1.4,426
2021-09-28T00:00:00.000Z,0.6,34.17,1.58,1.2,1.9,2.414,518
2021-09-29T00:00:00.000Z,0.73,14.2,3.7,2.13,5.22,2.14,511
2021-09-30T00:00:00.000Z,0.45,27.95,4.22,2.72,5.15,2.132,511
2021-10-01T00:00:00.000Z,0.2,2.83,1,0.77,1.3,0.386,510
2021-10-02T00:00:00.000Z,1,15.15,5.77,1.9,8.38,3.749,456
2021-10-03T00:00:00.000Z,5.97,65.2,12.65,10.43,14.63,4.849,519
2021-10-04T00:00:00.000Z,0.3,15.85,1.6,0.79,2.02,1.754,525
2021-10-05T00:00:00.000Z,0.3,6.18,2.71,2.2,3.25,1.063,530
2021-10-06T00:00:00.000Z,0.3,9.77,1.1,0.7,2.33,1.888,527
2021-10-07T00:00:00.000Z,0.6,6.03,1.88,1.27,2.65,1.173,527
2021-10-08T00:00:00.000Z,2.7,11.65,6.25,4.2,8.38,2.298,519
2021-10-09T00:00:00.000Z,3.4,22.05,9.5,5.47,12.55,4.586,514
2021-10-10T00:00:00.000Z,3.17,15.6,6.75,5,9.73,2.953,523
2021-10-11T00:00:00.000Z,0.3,12.57,1.83,0.73,4.72,2.715,527
2021-10-12T00:00:00.000Z,0,46.67,0.6,0.4,0.7,2.473,527
2021-10-13T00:00:00.000Z,0.1,23.92,0.6,0.3,0.73,1.196,514
2021-10-14T00:00:00.000Z,0.63,5,1.5,1.12,2.08,0.678,515
2021-10-15T00:00:00.000Z,0.2,8.75,0.9,0.6,1.2,0.836,521
2021-10-16T00:00:00.000Z,0.2,21.6,0.9,0.56,1.14,1.601,523
2021-10-17T00:00:00.000Z,0,93.18,0.9,0.6,1.08,4.94,527
2021-10-18T00:00:00.000Z,0.13,103.78,1.05,0.7,1.45,11.223,504
2021-10-19T00:00:00.000Z,0.3,98.68,1.1,0.73,4.84,8.408,530
2021-10-20T00:00:00.000Z,0.2,4.93,1.63,1,2.25,0.951,517
2021-10-21T00:00:00.000Z,0.3,87.75,1.8,0.6,2.35,6.867,495
2021-10-22T00:00:00.000Z,0.1,113.53,0.63,0.4,0.8,7.071,521
2021-10-23T00:00:00.000Z,0,5.32,0.6,0.4,0.9,0.512,524
2021-10-24T00:00:00.000Z,0.68,12.1,1.66,1.23,2.27,0.935,522
2021-10-25T00:00:00.000Z,1.9,16.35,4.3,3.13,6.53,3.482,523
2021-10-26T00:00:00.000Z,0.43,42.42,1.84,1.14,2.7,4.528,522
2021-10-27T00:00:00.000Z,0.3,3.65,1.73,1.27,2.08,0.639,503
2021-10-28T00:00:00.000Z,0.2,14.88,2.33,1.6,6.63,4.061,496
2021-10-29T00:00:00.000Z,7.43,86.47,12.27,11.13,14.55,4.046,517
2021-10-30T00:00:00.000Z,5.95,70.78,12.13,9.48,15.55,4.888,530
2021-10-31T00:00:00.000Z,1.23,27.02,3.65,2.4,11.35,6.618,514
2021-11-01T00:00:00.000Z,0.88,34.1,16.39,9.73,20.39,7.143,487
2021-11-02T00:00:00.000Z,2.47,23.48,8.05,5.13,9.27,3.085,463
2021-11-03T00:00:00.000Z,1,10.77,2,1.6,3.44,1.255,457
2021-11-04T00:00:00.000Z,0.3,4.72,1.2,0.6,1.7,0.825,463
2021-11-05T00:00:00.000Z,0.2,14.05,0.98,0.5,1.7,1.501,467
2021-11-06T00:00:00.000Z,0.13,10.57,1,0.7,1.58,1.133,461
2022-02-01T00:00:00.000Z,1.3,16.23,2.88,2.38,4.68,2.261,306
2022-02-02T00:00:00.000Z,1.48,16.85,2.1,1.92,2.5,1.006,435
2022-02-03T00:00:00.000Z,1.65,34.85,3.3,2.38,5.25,3.366,424
2022-02-04T00:00:00.000Z,0.65,13.57,2.29,1.5,3.05,1.958,448
2022-02-05T00:00:00.000Z,0.77,22.4,2.1,1.63,2.94,2.076,457
2022-02-06T00:00:00.000Z,0.77,11.65,1.75,1.48,2.04,0.927,461
2022-02-07T00:00:00.000Z,0.1,10.23,1.55,0.84,1.9,1.087,456
2022-02-08T00:00:00.000Z,0.32,6.32,1.42,0.93,1.85,0.667,452
2022-02-09T00:00:00.000Z,0.4,10.73,2,1.05,2.8,1.135,434
2022-02-10T00:00:00.000Z,0.55,29.3,1.75,1.1,2.14,3.373,436
2022-02-11T00:00:00.000Z,0.25,61.25,1.65,1.3,2.2,3.316,448
2022-02-12T00:00:00.000Z,1.25,141.35,2.87,2.15,3.96,8.719,452
2022-02-13T00:00:00.000Z,1.52,69.84,4.98,3.75,7.2,5.838,466
2022-02-14T00:00:00.000Z,0.7,75.38,3.94,1.92,7.47,4.972,470
2022-02-15T00:00:00.000Z,0.65,4.88,2.04,1.48,2.45,0.701,471
2022-02-16T00:00:00.000Z,0.9,34.35,2.35,1.88,2.92,2.528,470
2022-02-17T00:00:00.000Z,0.6,12.43,1.45,0.93,2.17,1.291,475
2022-02-18T00:00:00.000Z,0.1,77.18,1.7,1.3,2.9,5.359,467
2022-02-19T00:00:00.000Z,0.2,14.07,1.2,0.9,2.33,1.875,468
2022-02-20T00:00:00.000Z,0.7,55.15,2.1,1.3,3.35,4.934,469
2022-02-21T00:00:00.000Z,0.5,21.48,0.95,0.73,1.48,1.149,472
2022-02-22T00:00:00.000Z,0.5,10.95,1.7,1.4,2.02,1.056,478
2022-02-23T00:00:00.000Z,0.9,6.43,2.29,1.85,2.88,0.825,470
2022-02-24T00:00:00.000Z,0.6,4.13,1.7,1.2,2.29,0.756,473
2022-02-25T00:00:00.000Z,0.5,17.07,1.75,1.1,2.33,1.387,470
2022-02-26T00:00:00.000Z,0.5,19.67,1.6,1.2,1.9,1.739,475
2022-02-27T00:00:00.000Z,1.35,5.53,2.17,1.92,2.5,0.507,469
2022-02-28T00:00:00.000Z,1.4,8.32,2.8,2.33,3.67,1.083,468
2022-03-01T00:00:00.000Z,1.67,38.53,9.6,3.8,11.87,4.338,477
2022-03-02T00:00:00.000Z,0.3,10.45,2.1,1.01,5.74,2.894,461
2022-03-03T00:00:00.000Z,0.2,18.6,1.2,0.7,1.5,1.125,466
2022-03-04T00:00:00.000Z,0.4,5.85,1.35,1,1.6,0.724,467
2022-03-05T00:00:00.000Z,1.2,557.75,2.4,2.02,2.9,25.926,470
2022-03-06T00:00:00.000Z,0.1,146.72,1.8,0.93,2.35,9.702,463
2022-03-07T00:00:00.000Z,0.2,124.03,1.54,1.17,2.25,8.366,474
2022-03-08T00:00:00.000Z,0.9,95.3,2.95,2.04,4.15,5.766,463
2022-03-09T00:00:00.000Z,0.8,65.88,2.17,1.6,2.7,3.934,470
2022-03-10T00:00:00.000Z,1.3,8.98,2.97,2.13,3.58,1.115,470
2022-03-11T00:00:00.000Z,2.15,85.55,4.7,3.85,5.88,5.821,473
2022-03-12T00:00:00.000Z,1.12,19.45,3.38,2.29,4.34,1.701,469
2022-03-13T00:00:00.000Z,1.1,22.3,2.5,2.1,2.85,1.613,463
